,RM. PS 05-Aset-L,,,,,,,,,,,,,,,,
,            FORMULIR IDENTIFIKASI KOLEKSI PERPUSTAKAAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    Nomor:,PORS. BHS IND - NON LAI,,,
,,,,,,,,,,,,,,,,,
,NO,I S B N,DDC,Judul Buku,Jenis Terbitan,Kategori Bacaan,Negara Asal,Propinsi,Nama Bahasa,Jumlah Halaman,Tambahan isi,Pengarang/ Editor,Penerbit,Tahun Terbit,Lokasi,Jumlah Buku,Ada Fisik
,,0-913573-20-5,492.4 BRO b,The New Brown - Driver - Briggs - Gesenius Hebrew and English Lexicon with an Appendix Containing the Biblical Aramaic,Konkordansi,Umum,USA,,Inggris,1118,,Francis Brown Dkk,Hendrickson Publishers,1970,3,1,1
,,,492.4 BRO b,The New Brown - Driver - Briggs - Gesenius Hebrew and English Lexicon with an Appendix Containing the Biblical Aramaic,Konkordansi,Umum,USA,,Inggris,1127,,Francis Brown Dkk,Associated Publisher and Authors,1978,3,1,1
,,978-1-56563-206-6,492.43 BRO b,The Brown - Driver - Briggs Hebrew and English Lexicon,Konkordansi,Umum,USA,,Inggris,1212,,Francis Brown Dkk,Hendrickson Publishers,2010,3,3,3
,,978-979-687-224-4,220.3 WAL k,Konkordansi Alkitab Thn. 2011,Konkordansi,Umum,Indonesia,,Indonesia,530,,Dr. D.F. Walker,BPK Gunung Mulia,2011,2,1,1
,,979-415-766-X,220.3 WAL k,Konkordansi Alkitab Thn. 2000,Konkordansi,Umum,Indonesia,,Indonesia,510,,Dr. D.F. Walker,BPK Gunung Mulia,2000,2,1,1
,,979-687-211-0,220.3 WAL k,Konkordansi Alkitab Thn. 2003,Konkordansi,Umum,Indonesia,,Indonesia,510,,Dr. D.F. Walker,BPK Gunung Mulia,2003,2,1,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,JUMLAH,,,45,33
,,,,,,,,,,,,,,,,,
,"           Jakarta, 28 September 2016",,,,,,,,,,,,,,,,
,                       ,                              Yang membuat,,,,,,,,,,,                                                             Mengetahui,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,                              (Nomi Dora Laimu),,,,,,,,,,                                        (Bambang Sitompul),,,,,
,,                               Staf Perpustakaan,,,,,,,,,,                                         Kabid Permus,,,,,
